City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Bambous Virieux,75,MU,1649432408,94,-20.3428,57.7575,78.22,11.5
Lüderitz,41,NA,1649432408,52,-26.6481,15.1594,70.75,15.59
Iquitos,40,PE,1649432408,74,-3.7481,-73.2472,84.24,4.61
Lishu,45,CN,1649432408,59,43.3047,124.3278,57.61,11.5
Tweed,78,CA,1649432409,77,44.4751,-77.3162,51.22,10.38
Yulara,3,AU,1649432409,39,-25.2406,130.9889,62.44,0.0
Jinchang,0,CN,1649432409,16,38.4953,102.1739,60.71,9.26
Blackwater,7,AU,1649432409,83,-23.5833,148.8833,70.0,10.07
Nishihara,20,JP,1649432409,73,26.1842,127.7558,69.08,8.05
Atasū,8,KZ,1649432409,67,48.6814,71.6433,45.03,6.93
Nova Viçosa,27,BR,1649432409,66,-17.8919,-39.3719,83.39,8.28
Cayenne,75,GF,1649432410,74,4.9333,-52.3333,84.24,14.97
Karratha,8,AU,1649432410,55,-20.7377,116.8463,84.96,15.57
Puerto Nariño,83,CO,1649432410,72,-3.7703,-70.3831,84.92,3.85
Puerto del Rosario,20,ES,1649432410,68,28.5004,-13.8627,69.55,17.27
Balkanabat,70,TM,1649432410,42,39.5108,54.3671,68.63,5.66
Zhezkazgan,70,KZ,1649432410,58,47.8043,67.7144,48.63,10.16
Hofn,0,IS,1649432410,32,64.2539,-15.2082,37.42,5.75
Río Cuarto,0,AR,1649432410,41,-33.1307,-64.3499,84.33,18.41
Greensburg,100,US,1649432410,75,40.3015,-79.5389,46.26,9.22
Kvarkeno,85,RU,1649432411,68,52.0833,59.725,44.65,3.89
Skagen,62,DK,1649432411,64,57.7209,10.5839,39.29,19.77
Zaranj,0,AF,1649432411,7,30.9667,61.8833,89.56,10.92
Maningrida,100,AU,1649432411,78,-12.0667,134.2667,77.0,7.38
Gushikawa,20,JP,1649432411,81,26.3544,127.8686,69.03,6.91
Oceanside,0,US,1649432411,28,33.1959,-117.3795,90.5,5.01
Wanaka,2,NZ,1649432411,76,-44.7,169.15,43.11,1.01
Bétaré Oya,80,CM,1649432411,34,5.6,14.0833,89.04,2.82
Nuevo Laredo,0,MX,1649432412,37,27.4763,-99.5164,70.07,6.91
Buchmany,26,UA,1649432412,61,51.0689,28.0421,49.93,14.38
Rahā,57,IN,1649432412,78,26.2333,92.5167,73.04,7.52
Manoel Urbano,27,BR,1649432412,50,-8.8389,-69.2597,91.85,2.68
Bubaque,10,GW,1649432412,74,11.2833,-15.8333,78.28,17.9
Guarapari,76,BR,1649432412,66,-20.6667,-40.4975,82.89,7.72
Ust-Tsilma,83,RU,1649432408,92,65.441,52.1498,22.86,6.62
Warmbad,14,NA,1649432404,19,-28.45,18.7333,78.48,14.23
Kiryat Gat,100,IL,1649432412,100,31.61,34.7642,65.8,7.81
Mackay,100,AU,1649432412,83,-21.15,149.2,78.78,19.57
Chul'man,100,RU,1649432413,99,56.8479,124.9104,9.77,1.99
Jasper,100,US,1649432413,65,37.2001,-94.3502,40.68,16.11
Prince Rupert,100,CA,1649432413,75,54.3161,-130.3201,41.09,19.57
Emporia,0,US,1649432413,52,38.4039,-96.1817,41.2,20.71
Imeni Babushkina,100,RU,1649432413,100,59.7573,43.1285,40.46,8.12
Vega de Alatorre,77,MX,1649432413,53,20.0333,-96.6333,75.18,9.22
Honningsvåg,20,NO,1649432260,69,70.9821,25.9704,33.55,24.16
Nizwá,100,OM,1649432413,16,22.9333,57.5333,89.04,2.19
Borogontsy,45,RU,1649432414,99,62.6683,131.1683,3.07,4.18
Akdepe,100,TM,1649432414,25,42.0551,59.3788,75.29,12.33
Necochea,76,AR,1649432414,63,-38.5473,-58.7368,67.48,5.64
Edd,0,ER,1649432414,46,13.9297,41.6925,88.7,16.69
Kushima,0,JP,1649432414,71,31.4583,131.2333,56.26,2.13
Onverwacht,40,SR,1649432414,79,5.5833,-55.1833,82.4,12.66
Coroico,84,BO,1649432414,88,-16.1889,-67.7271,70.2,3.76
Eureka,100,US,1649432414,73,40.8021,-124.1637,51.21,10.0
Padilla,86,CO,1649432415,73,3.2204,-76.3139,76.57,2.95
Khammam,79,IN,1649432332,47,17.25,80.15,87.78,12.17
Mandera,100,KE,1649432415,24,3.9366,41.867,95.94,0.43
Udachny,45,RU,1649432415,100,66.4167,112.4,-4.25,2.44
Drawsko Pomorskie,94,PL,1649432415,60,53.5306,15.8097,45.07,4.0
Mbuji-Mayi,75,CD,1649432415,69,-6.15,23.6,79.23,4.38
Japura,99,ID,1649432415,99,-0.3167,102.35,74.17,4.09
Christchurch,75,NZ,1649432415,80,-43.5333,172.6333,53.8,3.44
Atikokan,93,CA,1649432416,80,48.7555,-91.6216,26.92,13.85
Soyo,58,AO,1649432416,80,-6.1349,12.3689,81.75,10.31
Kristinestad,100,FI,1649432416,96,62.2743,21.376,36.7,12.95
Mahon,0,ES,1649432318,63,39.8885,4.2658,66.76,12.66
Gamba,71,GA,1649432416,83,-2.65,10.0,80.67,9.6
Jiuquan,0,CN,1649432416,10,39.7432,98.5174,62.42,10.71
Redcliffe,20,AU,1649432416,93,-27.2307,153.0973,68.45,6.91
Hobyo,77,SO,1649432416,75,5.3505,48.5268,82.99,14.43
Ban Phai,79,TH,1649432417,38,16.06,102.731,77.22,5.55
San Patricio,0,US,1649432417,26,28.017,-97.5169,74.93,6.02
Bayshore Gardens,0,US,1649432417,46,27.4253,-82.5904,74.21,16.11
Kahului,0,US,1649432417,76,20.8947,-156.47,73.85,13.8
Waipawa,24,NZ,1649432417,82,-41.4122,175.5153,50.41,10.36
Bayjī,100,IQ,1649432417,13,34.9311,43.487,89.22,19.15
Yarmouth,100,US,1649432417,94,41.7057,-70.2286,56.14,10.36
Sarangani,100,PH,1649432418,82,5.4033,125.4636,81.86,24.29
Penzance,20,GB,1649432418,71,50.1186,-5.5371,50.68,21.85
Iqaluit,100,CA,1649432418,79,63.7506,-68.5145,20.93,12.66
Flinders,85,AU,1649432418,86,-34.5833,150.8552,69.39,1.99
Talipan,79,PH,1649432418,88,13.9333,121.6833,79.14,4.94
Tacuarembó,5,UY,1649432343,57,-31.7333,-55.9833,77.47,3.58
Monaragala,98,LK,1649432418,88,6.8714,81.3487,76.75,3.0
Rosarito,0,MX,1649432418,20,32.3333,-117.0333,85.41,9.98
Tuscaloosa,0,US,1649432272,50,33.2098,-87.5692,56.86,6.91
Acapulco de Juárez,20,MX,1649432419,47,16.8634,-99.8901,80.42,4.61
Pangkalanbuun,100,ID,1649432419,98,-2.6833,111.6167,73.58,2.82
Sava,0,IT,1649432419,49,40.4034,17.5584,67.48,12.66
Bernalillo,0,US,1649432419,20,35.05,-106.6673,54.91,8.05
Yeppoon,84,AU,1649432419,84,-23.1333,150.7333,74.98,18.12
Te Anau,11,NZ,1649432419,92,-45.4167,167.7167,41.63,0.81
Tabas,14,IR,1649432419,11,33.5959,56.9244,78.8,6.78
Jalu,0,LY,1649432420,17,29.0331,21.5482,79.88,10.45
Cabinda,40,AO,1649432420,74,-5.55,12.2,84.34,9.22
Maple Creek,10,CA,1649432420,42,49.9168,-109.4848,49.19,20.69
Antalaha,94,MG,1649432420,91,-14.9003,50.2788,77.2,8.12
Barão de Melgaço,8,BR,1649432420,36,-16.1944,-55.9675,96.46,6.24
Morant Bay,42,JM,1649432420,64,17.8815,-76.4093,88.72,11.86
Myitkyina,25,MM,1649432420,63,25.3833,97.4,73.31,5.32
Comodoro Rivadavia,0,AR,1649432136,58,-45.8667,-67.5,58.86,4.61
Taman',100,RU,1649432421,93,45.2117,36.7161,48.54,12.06
Jiayuguan City,1,CN,1649432421,10,39.8167,98.3,60.24,8.72
Umm Hājar,7,TD,1649432421,8,13.2954,19.6966,105.57,6.89
Kungurtug,96,RU,1649432126,91,50.5994,97.5228,37.67,1.77
Elizabeth City,0,US,1649432421,61,36.2946,-76.2511,63.01,5.75
Ulaanbaatar,75,MN,1649432421,31,47.9077,106.8832,42.93,2.24
São Raimundo Nonato,63,BR,1649432421,25,-9.0153,-42.6994,97.14,5.68
Kubuta,90,SZ,1649432422,75,-26.8833,31.4833,69.06,8.7
Moba,100,CN,1649432422,78,33.2288,105.0179,51.62,3.8
Codajás,51,BR,1649432422,61,-3.8367,-62.0569,89.38,3.65
Władysławowo,28,PL,1649432422,56,54.7909,18.4009,49.55,24.38
Bozoum,87,CF,1649432422,36,6.3193,16.3799,86.95,6.58
Diplo,0,PK,1649432422,41,24.4667,69.584,85.75,17.07
Faya,0,SA,1649432422,28,18.3851,42.4509,73.51,3.24
Cravo Norte,48,CO,1649432422,38,6.3017,-70.2041,93.51,7.4
Nanortalik,15,GL,1649432422,74,60.1432,-45.2371,30.27,6.42
Hamilton,75,US,1649432423,71,39.1834,-84.5333,47.75,13.8
Terrace Bay,100,CA,1649432423,78,48.7834,-87.1,27.12,16.73
Bantry,29,IE,1649432423,46,51.6833,-9.45,48.78,18.66
Lázaro Cárdenas,47,MX,1649432423,47,17.9583,-102.2,82.67,3.13
Sharan,100,RU,1649432423,100,54.8167,54.0,38.17,6.02
Samarai,100,PG,1649432423,90,-10.6167,150.6667,77.74,6.02
Khovd,21,MN,1649432423,41,48.0056,91.6419,51.94,20.56
Ulaangom,71,MN,1649432423,58,49.9811,92.0667,43.32,15.17
Taoudenni,0,ML,1649432423,5,22.6783,-3.9836,99.84,8.81
Kachug,99,RU,1649432424,94,53.9606,105.8817,27.86,1.43
Cockburn Town,40,TC,1649432424,78,21.4612,-71.1419,78.67,19.69
Anadyr,0,RU,1649432424,77,64.75,177.4833,-7.1,2.24
Jacmel,10,HT,1649432424,57,18.2342,-72.5347,85.84,7.99
Dinant,100,BE,1649432400,95,50.2584,4.9106,44.53,8.05
Khani,97,GE,1649432424,99,41.9563,42.9566,54.97,4.56
Bandarbeyla,99,SO,1649432424,78,9.4942,50.8122,81.36,8.86
Casper,0,US,1649432424,29,42.8666,-106.3131,49.71,16.11
Kemin,81,KG,1649432424,62,42.7846,75.6892,57.9,5.21
Narsaq,17,GL,1649432425,62,60.9167,-46.05,37.62,3.4
Sisimiut,100,GL,1649432425,80,66.9395,-53.6735,16.07,8.48
Jiangyou,100,CN,1649432425,59,31.7667,104.7167,66.15,3.67
Bījār,98,IR,1649432347,30,35.8668,47.6051,58.03,19.66
Whitefish,0,US,1649432425,68,48.4111,-114.3376,43.5,0.0
Coração de Jesus,69,BR,1649432425,34,-16.6853,-44.365,91.27,3.74
Arlit,92,NE,1649432425,3,18.7369,7.3853,107.53,3.44
Port Hardy,100,CA,1649432425,93,50.6996,-127.4199,44.6,6.91
Strzegom,100,PL,1649432425,71,50.9626,16.3501,50.54,8.05
Sulangan,100,PH,1649432426,78,11.1373,123.7228,78.51,7.9
Kyabé,60,TD,1649432426,14,9.4515,18.9449,103.91,5.79
Nantucket,100,US,1649432426,98,41.2835,-70.0995,51.91,18.41
Port Blair,40,IN,1649432426,83,11.6667,92.75,80.64,2.3
Boende,100,CD,1649432426,96,-0.2167,20.8667,69.06,5.39
Hirara,6,JP,1649432426,68,24.8,125.2833,70.54,16.91
Panalingaan,100,PH,1649432427,89,8.7842,117.4231,77.9,7.36
Kasongo-Lunda,63,CD,1649432427,81,-6.4667,16.8167,78.75,4.43
Itarema,68,BR,1649432427,76,-2.9248,-39.9167,83.23,11.65
Verkh-Usugli,6,RU,1649432427,77,52.7,115.1667,24.26,3.24
Saint Anthony,0,US,1649432427,62,45.0205,-93.218,38.34,17.27
Geraldton,100,AU,1649432427,83,-28.7667,114.6,68.41,4.61
Wanning,42,CN,1649432427,80,18.8003,110.3967,67.6,5.86
Hustopeče,100,CZ,1649432428,82,48.9408,16.7376,53.22,12.71
Arman',94,RU,1649432428,96,59.7,150.1667,11.75,6.62
Hay River,100,CA,1649432428,80,60.8156,-115.7999,37.36,5.75
Zavolzhsk,94,RU,1649432428,89,57.4823,42.1378,43.18,9.93
Inhambane,20,MZ,1649432428,69,-23.865,35.3833,78.78,11.5
Houma,0,US,1649432428,30,29.5958,-90.7195,68.0,19.57
Viedma,11,AR,1649432342,55,-40.8135,-62.9967,69.26,5.99
Port Lincoln,0,AU,1649432428,78,-34.7333,135.8667,66.11,10.94
Pleshanovo,99,RU,1649432429,100,52.8333,53.4833,37.62,7.11
Saint-Pierre,20,RE,1649432429,81,-21.3393,55.4781,76.68,19.57
Saldanha,0,ZA,1649432217,47,-33.0117,17.9442,78.85,13.04
Tostedt,99,DE,1649432429,68,53.2833,9.7167,48.54,11.68
Botelhos,70,BR,1649432429,69,-21.6333,-46.395,77.68,4.79
Dul'durga,11,RU,1649432273,58,50.6761,113.5931,32.56,3.22
Tilichiki,100,RU,1649432429,96,60.4667,166.1,13.78,4.74
Saint-Joseph,55,RE,1649432429,83,-21.3667,55.6167,75.58,14.43
Barcelos,100,PT,1649432424,98,41.5388,-8.6151,57.92,12.01
Kokstad,100,ZA,1649432430,81,-30.5472,29.4241,49.42,4.56
Simao,53,CN,1649432430,79,22.7886,100.9748,60.62,1.54
Nālūt,87,LY,1649432430,16,30.3333,10.85,82.2,11.03
Kipini,0,KE,1649432430,72,-2.5257,40.5262,86.29,14.03
Egvekinot,90,RU,1649432430,97,66.3167,-179.1667,-18.8,5.32
Tangzhai,31,CN,1649432431,48,34.4328,116.5911,66.7,12.3
Diego de Almagro,0,CL,1649432431,15,-26.3667,-70.05,81.39,8.12
Jackson,75,US,1649432431,67,42.4165,-122.8345,55.15,3.44
Bayir,0,TR,1649432431,60,37.2687,28.2167,61.32,8.19
Dubbo,75,AU,1649432431,94,-32.25,148.6167,60.93,8.05
Tumpat,20,MY,1649432431,83,6.1978,102.171,80.58,2.3
Mozarlândia,5,BR,1649432431,49,-14.7447,-50.5706,90.84,4.23
Kalmunai,67,LK,1649432431,77,7.4167,81.8167,80.38,0.4
Stavern,100,NO,1649432431,30,59.0,10.0333,46.18,4.16
Yuzhno-Kurilsk,96,RU,1649432432,94,44.0306,145.8556,33.75,5.84
Kokoda,100,PG,1649432432,97,-8.8785,147.7407,75.22,0.36
Vao,14,NC,1649432432,85,-22.6667,167.4833,77.95,26.13
Sobolevo,100,RU,1649432432,89,54.4299,31.8996,42.6,7.99
Kaffrine,18,SN,1649432432,7,14.1059,-15.5508,109.76,14.16
Harrisonburg,40,US,1649432350,53,38.4496,-78.8689,56.16,9.22
Roald,40,NO,1649432432,65,62.5833,6.1333,40.12,9.22
Harper,99,LR,1649432432,69,4.375,-7.7169,85.39,9.19
Maxixe,20,MZ,1649432167,69,-23.8597,35.3472,78.62,11.5
Ouégoa,100,NC,1649432432,87,-20.35,164.4333,77.41,6.44
Pochutla,9,MX,1649432433,44,15.7432,-96.4661,86.83,6.44
Nizhniy Kuranakh,88,RU,1649432433,99,58.8353,125.4869,6.37,1.63
Omboué,65,GA,1649432433,82,-1.5746,9.2618,81.72,10.98
Verkhoyansk,92,RU,1649432433,100,67.5447,133.385,-1.3,2.04
Santa Isabel Rio Negro,100,BR,1649432433,82,-0.4139,-65.0192,79.29,3.6
Coahuayana Viejo,17,MX,1649432433,42,18.7333,-103.6833,84.94,3.22
Srandakan,92,ID,1649432433,86,-7.9386,110.2506,76.3,2.86
Ahipara,9,NZ,1649432433,84,-35.1667,173.1667,57.09,5.66
Ngaoundéré,58,CM,1649432434,20,7.3167,13.5833,90.59,4.23
Todos Santos,33,MX,1649432434,59,23.45,-110.2167,72.84,6.11
Port-Gentil,48,GA,1649432434,83,-0.7193,8.7815,81.43,13.04
Ippy,56,CF,1649432434,40,6.2679,21.2247,89.24,4.29
Kichera,100,RU,1649432434,95,55.9375,110.0997,25.09,1.72
Seydi,100,TM,1649432434,25,39.4816,62.9137,79.77,9.13
North Branch,99,US,1649432434,62,45.5113,-92.9802,38.07,11.01
Adrar,5,MR,1649432434,7,20.5022,-10.0711,92.88,11.05
Cap-aux-Meules,75,CA,1649432435,93,47.3821,-61.8597,35.65,13.8
Umeå,75,SE,1649432435,100,63.8284,20.2597,35.53,5.75
Ambulu,78,ID,1649432435,89,-8.345,113.6058,76.05,0.98
Nushki,0,PK,1649432435,9,29.5542,66.0215,81.21,1.99
Bjørnevatn,0,NO,1649432435,64,69.6672,29.9847,33.42,17.27
Shaoguan,0,CN,1649432435,60,24.8,113.5833,66.49,1.39
Leh,0,IN,1649432436,43,34.1667,77.5833,31.71,5.88
Tolaga Bay,1,NZ,1649432436,81,-38.3667,178.3,52.23,5.14
Thio,100,NC,1649432436,85,-21.6167,166.2167,80.56,7.0
Takoradze,83,GH,1649432404,71,4.8845,-1.7554,85.39,14.61
Samoded,100,RU,1649432410,97,63.6083,40.5111,34.63,12.12
Ust-Kuyga,95,RU,1649432436,98,70.0167,135.6,-6.63,3.76
Nagato,0,JP,1649432436,50,34.3833,131.2,52.2,5.37
Coyhaique,75,CL,1649432437,81,-45.5752,-72.0662,49.95,0.0
Santa Maria,75,BR,1649432244,88,-29.6842,-53.8069,69.1,3.44
Arrondissement de Saint-Denis,100,FR,1649432437,95,48.9167,2.3333,45.16,13.8
Oranjestad,75,AW,1649432437,66,12.524,-70.027,85.95,25.32
Duluth,100,US,1649432437,56,46.7833,-92.1066,35.56,17.27
Mumford,100,GH,1649432437,75,5.2618,-0.759,84.47,15.39
Sambava,78,MG,1649432437,89,-14.2667,50.1667,77.99,9.4
Vila,100,PT,1649432438,94,42.0304,-8.1588,49.08,5.86
Bodden Town,40,KY,1649432438,74,19.2833,-81.25,82.4,4.61
Dimitrovgrad,52,RU,1649432438,83,54.2139,49.6184,48.34,7.87
Mezen',72,RU,1649432438,83,65.8522,44.24,34.21,11.52
Maniitsoq,100,GL,1649432438,82,65.4167,-52.9,21.15,6.46
Kumul,22,CN,1649432438,15,42.8,93.45,71.78,8.3
Tàrrega,44,ES,1649432439,33,41.647,1.1396,71.15,20.42
Jumla,22,NP,1649432439,48,29.2747,82.1838,50.65,4.56
Fare,100,PF,1649432439,75,-16.7,-151.0167,81.55,17.54
Kudahuvadhoo,74,MV,1649432439,72,2.6708,72.8944,83.3,6.24
Paphos,75,CY,1649432439,77,34.7667,32.4167,64.24,19.57
Batagay-Alyta,58,RU,1649432439,96,67.8006,130.4114,-2.49,5.68
Omsukchan,100,RU,1649432440,99,62.5333,155.8,6.4,4.38
Dunedin,87,NZ,1649432440,67,-45.8742,170.5036,52.81,11.99
Registro,20,BR,1649432440,50,-24.4875,-47.8436,86.36,1.99
Chara,100,RU,1649432440,71,56.9064,118.2631,17.38,3.49
Jeannette,100,US,1649432440,74,40.3281,-79.6153,45.9,9.22
Klyuchi,79,RU,1649432373,76,52.2667,79.1667,39.76,6.53
Saint Simons,0,US,1649432252,31,31.1352,-81.3901,69.03,17.27
Sapa,52,PH,1649432441,81,5.1544,120.3241,79.34,2.59
Forestville,0,US,1649432441,43,38.8451,-76.875,60.39,6.91
Haghartsin,99,AM,1649432441,93,40.7761,44.9685,48.85,5.37
Broken Hill,98,AU,1649432441,67,-31.95,141.4333,62.31,6.91
Ambovombe,76,MG,1649432441,84,-25.1667,46.0833,75.99,7.16
Atambua,91,ID,1649432441,89,-9.1061,124.8925,72.52,4.41
Province of Mantua,100,IT,1649432400,57,45.1667,10.7833,72.64,11.99
Rafsanjān,49,IR,1649432441,7,30.4067,55.9939,79.25,13.06
Lata,100,PT,1649432442,93,40.1629,-8.3327,57.92,7.18
Guisa,26,CU,1649432442,38,20.255,-76.5386,90.79,5.26
Havelock,0,US,1649432442,65,34.8791,-76.9013,66.02,8.05
Tambovka,58,RU,1649432442,92,50.0969,128.0489,26.62,1.97
Benguela,37,AO,1649432442,81,-12.5763,13.4055,79.16,5.01
Praia da Vitória,75,PT,1649432442,82,38.7333,-27.0667,66.45,31.38
Gazojak,100,TM,1649432442,25,41.1875,61.4036,76.55,14.47
Tiznit Province,0,MA,1649432442,34,29.5833,-9.5,72.84,9.95
Llangefni,75,GB,1649432443,55,53.2556,-4.3106,48.11,16.11
Bay-Khaak,99,RU,1649432443,92,51.1667,94.5,40.6,22.68
Havre-St-Pierre,75,CA,1649432443,75,50.2334,-63.5986,35.96,14.97
Kurchum,2,KZ,1649432443,76,48.5722,83.6542,38.91,9.66
Dalen,100,NL,1649432443,69,52.6992,6.7556,49.05,13.0
Los Llanos de Aridane,40,ES,1649432443,75,28.6585,-17.9182,65.95,11.5
Chegdomyn,95,RU,1649432444,98,51.1167,133.0167,13.21,2.46
Yilan,98,TW,1649432444,99,24.757,121.753,70.92,4.52
Marzuq,33,YE,1649432444,43,14.4,46.4667,73.13,10.11
Paita,33,PE,1649432444,68,-5.0892,-81.1144,75.85,9.26
Vestmanna,75,FO,1649432444,80,62.1564,-7.1664,32.92,24.16
Rome,100,US,1649432302,76,43.2128,-75.4557,50.38,11.5
Harnai,0,PK,1649432444,13,30.1005,67.9374,82.87,1.34
Bereket,61,TM,1649432444,39,39.2446,55.5154,70.74,4.21
Moroni,40,KM,1649432445,81,-11.7022,43.2551,81.3,8.01
Central Point,75,US,1649432445,67,42.376,-122.9164,55.42,3.44
Upata,78,VE,1649432445,36,8.0086,-62.3989,91.74,7.81
Almoloya,59,MX,1649432445,49,19.7,-98.4,58.37,4.54
